infile,author,dob,dod,gender,wikidata,bnf,viaf,loc,bne,isni,birth_date,death_date,century
"Cetina,Gutierre_de",Gutierre de Cetina,1520-01-01,1554-01-01,male,Q2708001,118957747,84488888,n80028397,"XX1037609,XX5432114",0000 0000 7978 5509,1520-01-01T00:00:00Z,1554-01-01T00:00:00Z,<XXI
"Champourcín,Ernestina_de",Ernestina de Champourcín,1905-07-10,1999-03-27,female,Q3754414,12271280h,12367718,n80051594,XX848026,0000 0001 1038 5416,1905-07-10T00:00:00Z,1999-03-27T00:00:00Z,<XXI
"Chicaiza,Murialdo",Murialdo Chicaiza,,,,,,,,,,,,XXI
"Chocano,José_Santos",José Santos Chocano,1875-05-14,1934-12-13,male,Q930961,12539444t,71504072,n84094820,XX887863,0000 0000 8151 3991,1875-05-14T00:00:00Z,1934-12-13T00:00:00Z,<XXI
"Chosed,Andrés_Sergio",Andrés Sergio Chosed,,,,,,,,,,,,XXI
"Chumacero,Alí",Alí Chumacero,1917-07-09,2010-10-22,male,Q2749630,"131949393,1",79063853,nr88006036,XX1303977,0000 0001 1449 0942,1917-07-09T00:00:00Z,2010-10-22T00:00:00Z,<XXI
"Chwesiuk,Luis",Luis Chwesiuk,,,,,,,,,,,,XXI
"Cifuentes,Manuel",Manuel Cifuentes,,,,,,,,,,,,XXI
"Cisneros_Flores,Marcela",Marcela Cisneros Flores,,,,,,,,,,,,XXI
"Cisneros_Rivera,Hugo_Oswaldo",Hugo Oswaldo Cisneros Rivera,,,,,,,,,,,,XXI
"Cociña,Carlos",Carlos Cociña,,,,,,,,,,,,XXI
"Colinas,Antonio",Antonio Colinas,1946-01-30,,male,Q322428,12018745g,68941503,n85152870,XX1720537,0000 0000 8148 1352,1946-01-30T00:00:00Z,,<XXI
"Conde,Carmen",Carmen Conde Abellán,1907-08-15,1996-01-08,female,Q616019,120020912,114239041,n79144877,XX4936301,0000 0001 1699 882X,1907-08-15T00:00:00Z,1996-01-08T00:00:00Z,<XXI
"Contreras,Ernestto",Ernestto Contreras,,,,,,,,,,,,XXI
"Corbacho,Óscar",Óscar Corbacho,,,,,,,,,,,,XXI
"Corcoba,Víctor",Víctor Corcoba,,,,,,,,,,,,XXI
"Cordero_Viera,Shirley_G.",Shirley G. Cordero Viera,,,,,,,,,,,,XXI
"Coronado,Carolina",Carolina Coronado,1820-12-20,1911-01-15,female,Q941605,12923638g,5738205,n89645562,XX908054,0000 0001 1589 3372,"1820-12-20T00:00:00Z,1820-12-12T00:00:00Z",1911-01-15T00:00:00Z,<XXI
"Coronel_Urtecho,José",José Coronel Hurtecho,1906-02-28,1994-03-19,male,Q6291954,121519142,56647718,n82246699,XX846111,0000 0001 2026 3105,1906-02-28T00:00:00Z,1994-03-19T00:00:00Z,<XXI
"Corral,Ezequiel_del",Ezequiel del Corral,,,,,,,,,,,,XXI
"Corredor_Cuervo,Héctor_José",Héctor José Corredor Cuervo,,,,,,,,,,,,XXI
"Crémer,Victoriano",Victoriano Crémer,1906-12-18,2009-06-27,male,Q443362,121749324,61588636,n82073818,XX1720695,0000 0000 8700 8080,1906-12-18T00:00:00Z,2009-06-27T00:00:00Z,<XXI
"Crespo,Ángel",Ángel Crespo,1926-07-18,1995-12-12,male,Q1026826,12024480d,73866543,n80094238,XX887132,0000 0001 0915 2025,1926-07-18T00:00:00Z,1995-12-12T00:00:00Z,<XXI
"Cristóbal,Juan",Juan Cristóbal,,,,,,,,,,,,XXI
"Croché_de_Acuña,Francisco",Francisco Croché de Acuña,,,,,,,,,,,,XXI
"Cruchaga,André",André Cruchaga,,,,,,,,,,,,XXI
"Cruz,David",David Cruz,,,,,,,,,,,,XXI
"Cruz,Juana_Inés_de_la",Juana Inés de la Cruz,1651-11-12,1695-04-17,female,Q183074,118866500,88633360,n80021650,XX1082687,0000 0001 2102 9265,1651-11-12T00:00:00Z,1695-04-17T00:00:00Z,<XXI
"Cruz,Lucas",Lucas Cruz,,,,,,,,,,,,XXI
"Cruz_B.,Diego",Diego Cruz B.,,,,,,,,,,,,XXI
"Cuenca,Luis_Alberto_de",Luis Alberto de Cuenca,1950-12-29,,male,Q4250379,12108604k,114982630,n79069938,XX841637,0000 0001 0937 9983,1950-12-29T00:00:00Z,,<XXI
"Cuya,Fernando",Fernando Cuya,,,,,,,,,,,,XXI
"D'Urgell_y_Rubió,Jaume",Jaume D'Urgell y Rubió,01/01/1992,,female,,169960434,310682473,n2014072399,XX5417948,0000 0004 3697 0172,1992-01-01T00:00:00Z,,XXI
"Dalton_García,Roque",Roque Dalton Garcia,1935-05-14,1975-05-10,male,Q539461,11898502j,112669778,n81139180,XX948737,0000 0001 0936 6955,1935-05-14T00:00:00Z,1975-05-10T00:00:00Z,<XXI
"Darío,Rubén",Rubén Darío,1867-01-18,1916-02-06,male,Q173767,11990609g,7399994,n79079172,XX896547,"0000 0003 6863 7123,0000 0001 2119 288X",1867-01-18T00:00:00Z,1916-02-06T00:00:00Z,<XXI
"Daza,Rafael",Rafael Daza,,,,,,,,,,,,XXI
"Dávila_Torres,Óscar_D.",Óscar D. Dávila Torres,,,,,,,,,,,,XXI
"Debravo,Jorge",Jorge Debravo,1938-01-31,1967-08-04,male,Q3183813,12226764t,66518289,n80162742,XX1564831,0000 0000 2551 6127,1938-01-31T00:00:00Z,1967-08-04T00:00:00Z,<XXI
"Dedi,Rafael",Rafael Dedi,,,,,,,,,,,,XXI
"Deganis,Luis",Luis Deganis,,,,,,,,,,,,XXI
"Del,Yolanda",Yolanda Del,,,,,,,,,,,,XXI
"Delfino,Ezequiel",Ezequiel Delfino,,,,,,,,,,,,XXI
"Delmar,Meira",Meira Delmar,1922-04-21,2009-03-18,female,Q3254529,14571383m,45860367,n88178908,XX1564831,0000 0001 0894 9032,1922-04-21T00:00:00Z,2009-03-18T00:00:00Z,<XXI
"Deschamps,Horacio",Horacio Deschamps,,,,,,,,,,,,XXI
"Diaz-Pinto_Montoro,Samuel",Samuel Diaz-Pinto Montoro,,,,,,,,,,,,XXI
"Díaz_Mirón,Salvador",Salvador Díaz Mirón,1853-12-14,1928-06-12,male,Q3775886,119908107,4939372,n87804337,XX1564831,0000 0000 6303 2932,1853-12-14T00:00:00Z,1928-06-12T00:00:00Z,<XXI
"Diego,Eliseo",Eliseo Diego,1923-07-02,1994-03-01,male,Q3391796,120545940,66486655,n79058829,XX849669,0000 0001 1068 220X,1923-07-02T00:00:00Z,1994-03-01T00:00:00Z,<XXI
"Diego_Villarrubia,Jonás",Jonás Diego Villarrubia,,,,,,,,,,,,XXI
"Díaz,Eva_T.",Eva T. Díaz,,,,,,,,,,,,XXI
"Díaz,Livia",Livia Díaz,,,,,,,,,,,,XXI
"Díaz,Nelson",Nelson Díaz,,,,,,,,,,,,XXI
"Díaz_Cuadrado,Tomás",Tomás Díaz Cuadrado,,,,,,,,,,,,XXI
"Díaz_González,Carlos",Carlos Díaz González,,,,,,,,,,,,XXI
"Díaz_Macker,Freddy",Freddy Díaz Macker,,,,,,,,,,,,XXI
"Díaz_Margarit,Carmen",Carmen Díaz Margarit,,,,,,,,,,,,XXI
"Diego,Gerardo",Gerardo Diego,1896-10-03,1987-07-08,male,Q382815,120206204,109725237,n78095652,XX849974,0000 0001 2147 4828,1896-10-03T00:00:00Z,1987-07-08T00:00:00Z,<XXI
"Dobleazur,J._López",J. López Dobleazur,,,,,,,,,,,,XXI
"Domenchina,Juan_José",Juan José Domenchina,1898-05-18,1959-10-27,male,Q5950214,165898555,38233659,n81035562,XX904038,"0000 0003 6851 5599,0000 0000 8373 6996",1898-05-18T00:00:00Z,1959-10-27T00:00:00Z,<XXI
"Domene,Francisco",Francisco Domene,,,,,,,,,,,,XXI
"Domingues,André",André Domingues,,,,,,,,,,,,XXI
"Domínguez_Romero,Fco.",Fco. Domínguez Romero,,,,,,,,,,,,XXI
"Domínguez_Zamora,Julio",Julio Domínguez Zamora,,,,,,,,,,,,XXI
"Dubón,María",María Dubón,,,,,,,,,,,,XXI
"Durán_León,Juan_José",Juan José Durán León,,,,,,,,,,,,XXI
"Dzunum,William_H._González_C.",William H. González C. Dzunum,,,,,,,,,,,,XXI
"Eguren,José_María",José María Eguren,1874-07-08,1942-04-19,male,Q8713392,12315403h,28317735,n50036060,XX1096754,0000 0000 8107 6576,1874-07-08T00:00:00Z,1942-04-19T00:00:00Z,<XXI
"Elgarresta,José",José Elgarresta,,,,,,,,,,,,XXI
"Encina,Juan_del",Juan del Encina,1468-07-12,1529-01-01,male,Q1191258,138936633,160940015,n79043189,XX917772,0000 0001 0901 153X,1468-07-12T00:00:00Z,1529-01-01T00:00:00Z,<XXI
Enmanuel,Enmanuel,,,,,,,,,,,,XXI
Ermantis,Ermantis,,,,,,,,,,,,XXI
"Escobar,Julio",Julio Escobar,,,,,,,,,,,,XXI
"Escobar_Galindo,David",David Escobar,1943-10-04,,male,Q5798074,121092292,2502040,n80008020,XX1097684,0000 0000 8081 7395,1943-10-04T00:00:00Z,,<XXI
"Escolar_López,José_Santiago",José Santiago Escolar López,,,,,,,,,,,,XXI
"Escudero,Gonzalo",Gonzalo Escudero,1903-09-28,1971-12-10,male,Q15926046,12068916g,73875876,n85000847,XX1098116,0000 0000 5927 2263,1903-09-28T00:00:00Z,1971-12-10T00:00:00Z,<XXI
"Esparza_Oteo,Teresa",Teresa Esparza Oteo,,,,,,,,,,,,XXI
"Espejo,José_Daniel",José Daniel Espejo,,,,,,,,,,,,XXI
"Espinoza_Caballero,Fdo._J.",Fdo. J. Espinoza Caballero,,,,,,,,,,,,XXI
"Espinoza_Neyra,R._Arturo",R. Arturo Espinoza Neyra,,,,,,,,,,,,XXI
"Espinoza_Ríos,Eugenio_Elías",Eugenio Elías Espinoza Ríos,,,,,,,,,,,,XXI
"Espronceda,José_de",José de Espronceda,1808-03-25,1842-05-23,male,Q209077,119964128,20632,n80107188,XX832205,0000 0001 0860 8270,1808-03-25T00:00:00Z,1842-05-23T00:00:00Z,<XXI
"Etxeba,Carlos",Carlos Etxeba,,,,,,,,,,,,XXI
"Feijoo,Marcos",Marcos Feijoo,,,,,,,,,,,,XXI
"Feiling,C.E.",C.E. Feiling,,,,,,,,,,,,XXI
"Felipe,León",León Felipe,1884-04-11,1968-09-18,male,Q2076131,11986402r,66475795,n79097487,XX956123,0000 0001 0910 2300,1884-04-11T00:00:00Z,1968-09-18T00:00:00Z,<XXI
"Fercey,Cristina_De",Cristina De Fercey,,,,,,,,,,,,XXI
"Fernández,Jaime",Jaime Fernández,,,,,,,,,,,,XXI
"Fernández,Macedonio",Macedonio Fernández,1874-06-01,1952-02-10,male,Q1334326,12124684h,7423470,n50002746,XX875892,0000 0001 2276 0965,1874-06-01T00:00:00Z,1952-02-10T00:00:00Z,<XXI
"Fernández_Bustos,Gerardo",Gerardo Fernández Bustos,,,,,,,,,,,,XXI
"Fernández_Cabañeros,Emilio",Emilio Fernández Cabañeros,,,,,,,,,,,,XXI
"Fernández_de_Moratín,Leandro",Leandro Fernández de Moratín,1760-03-10,1828-06-21,male,Q351132,12005532n,46771039,n79064916,XX894897,0000 0001 0895 5504,1760-03-10T00:00:00Z,1828-06-21T00:00:00Z,<XXI
"Fernández_de_Moratín,Nicolás",Nicolás Fernández de Moratín,1737-07-20,1780-05-11,male,Q2655029,146150187,24853607,n79063574,XX1026439,0000 0001 0880 3500,1737-07-20T00:00:00Z,1780-05-11T00:00:00Z,<XXI
"Fernández_Rivera,David",David Fernández Rivera,,,,,,,,,,,,XXI
"Fernández_Rollán,César",César Fernández Rollán,,,,,,,,,,,,XXI
"Fernández_Moreno,Baldomero",Baldomero Fernandez Moreno,1886-09-15,1950-06-07,male,Q804798,"121262679,11990475q",79039315,n89666464,XX1095309,0000 0001 1328 6798,1886-09-15T00:00:00Z,1950-06-07T00:00:00Z,<XXI
"Fernández_Retamar,Roberto",Roberto Fernández Retamar,1930-06-09,2019-07-20,male,Q1067549,11902582w,41839945,n50002748,XX1097887,0000 0001 0890 9399,1930-06-09T00:00:00Z,2019-07-20T00:00:00Z,<XXI
"Ferreira_Khalil,Abraham",Abraham Ferreira Khalil,,,,,,,,,,,,XXI
"Figueroa,Francisco_de",Francisco de Figueroa,1530-01-01,1588-01-01,male,Q3081965,11902582w,90633703,n50002748,XX1097887,0000 0000 6554 6152,1530-01-01T00:00:00Z,1588-01-01T00:00:00Z,<XXI
"Flores,Manuel_María",Manuel María Flores,1840-01-01,1885-01-01,male,Q5993679,11902582w,23703570,n88225845,XX1271468,0000 0000 3065 7178,1840-01-01T00:00:00Z,1885-01-01T00:00:00Z,<XXI
"Flórez,Julio",Julio Flórez,1863-05-22,1923-02-07,male,Q3189810,11902582w,42640747,n88138355,XX1271553,0000 0000 5622 3669,1863-05-22T00:00:00Z,1923-02-07T00:00:00Z,<XXI
"Florián,Miguel",Florian Miguel,1996-09-01,,male,Q23894624,11902582w,42640747,n88138355,XX1271553,0000 0000 5622 3669,1996-09-01T00:00:00Z,,<XXI
"Florit,Eugenio",Eugenio Florit,1903-10-15,1999-06-22,male,Q20789749,12887482f,97818018,n80153826,XX877040,0000 0001 1031 5610,1903-10-15T00:00:00Z,1999-06-22T00:00:00Z,<XXI
"Fontecha,Ángel_Dowel",Ángel Dowel Fontecha,,,,,,,,,,,,XXI
"Forner,Juan_Pablo",Juan Bautista Pablo Forner,1756-02-17,1797-03-16,male,Q6298996,11903142s,61545818,n50025341,XX1006066,0000 0001 1027 8506,1756-02-17T00:00:00Z,1797-03-16T00:00:00Z,<XXI
"Fragoso_García,Joshua_A.",Joshua A. Fragoso García,,,,,,,,,,,,XXI
"Franco,Biviana",Biviana Franco,,,,,,,,,,,,XXI
"Freyre,Silvana",Silvana Freyre,,,,,,,,,,,,XXI
"Frómeta,César",César Frómeta,,,,,,,,,,,,XXI
"Fuertes,Gloria",Gloria Fuertes,1917-07-28,1998-11-27,female,Q3323486,12567452k,73969667,n80067302,XX917078,0000 0001 1672 3260,1917-07-28T00:00:00Z,1998-11-27T00:00:00Z,<XXI
"Gabriel_y_Galán,José_María",José María Gabriel y Galán,1870-06-28,1905-01-06,male,Q2472454,12045972t,32014917,n82161803,XX1161916,0000 0000 8342 6840,1870-06-28T00:00:00Z,1905-01-06T00:00:00Z,<XXI
"Gaitán_Durán,Jorge",Jorge Gaitán Durán,1924-02-12,1962-06-21,male,Q9012800,12343920m,10681097,n84015043,XX1048745,0000 0000 7822 1402,1924-02-12T00:00:00Z,1962-06-21T00:00:00Z,<XXI
"Gala,Antonio",Antonio Gala,1930-10-02,,male,Q3750903,11990669b,120351374,n79144864,XX876471,0000 0001 2149 0668,1930-10-02T00:00:00Z,,<XXI
"Galeano,Eduardo",Eduardo Galeano,1940-09-03,2015-04-13,male,Q44575,11903917s,108462641,n79056069,XX877765,0000 0001 2283 9606,1940-09-03T00:00:00Z,2015-04-13T00:00:00Z,<XXI
"Gallardo,Francisco_J.",Francisco J. Gallardo,,,,,,,,,,,,XXI
"Gallego,Juan_Nicasio",Juan Nicasio Gallego,1777-12-14,1853-01-09,male,Q720492,127336866,818521,nr95017010,XX1161175,0000 0000 6126 4078,1777-12-14T00:00:00Z,1853-01-09T00:00:00Z,<XXI
"Gallego,Vicente",Vicente Gallego,1963-01-01,,male,Q944163,12200499s,17270137,n89643814,XX837619,0000 0001 0874 7369,1963-01-01T00:00:00Z,,<XXI
"Galliano,Gustavo_Marcelo",Gustavo Marcelo Galliano,,,,,,,,,,,,XXI
"Gamoneda,Antonio",Antonio Gamoneda,1931-05-30,,male,Q602119,12174933g,65180521,n88209090,XX919213,0000 0001 2096 2918,1931-05-30T00:00:00Z,,<XXI
"García,Ignacio",Ignacio García,,,,,,,,,,,,XXI
"García,Marian",Marian García,,,,,,,,,,,,XXI
"García_Aleixandre,Fernando",Fernando García Aleixandre,,,,,,,,,,,,XXI
"García_Cabrera,Pedro",Pedro García Cabrera,1905-08-19,1981-03-20,male,Q7159599,121902648,36962978,n82077879,XX1087408,0000 0000 6301 9973,1905-08-19T00:00:00Z,1981-03-20T00:00:00Z,<XXI
"García_Fernández,José_Ángel",José Ángel García Fernández,,,,,,,,,,,,XXI
"García_Florindo,Daniel",Daniel García Florindo,,,,,,,,,,,,XXI
"García_Hernanz,Norberto",Norberto García Hernanz,,,,,,,,,,,,XXI
"García_Herrera,José_Luis",José Luis García Herrera,,,,,,,,,,,,XXI
"García_Herrero,Luciano",Luciano García Herrero,,,,,,,,,,,,XXI
"García_de_la_Huerta,Vicente",Vicente Antonio García de la Huerta,1734-03-09,1787-03-12,male,Q251560,11997236z,51698945,n83011369,XX983185,0000 0001 0900 2561,1734-03-09T00:00:00Z,1787-03-12T00:00:00Z,<XXI
"García_Mauri,José_Mª",José Mª García Mauri,,,,,,,,,,,,XXI
"García_Lorca,Federico",Federico García Lorca,1898-06-05,1936-08-18,male,Q41408,11904091z,34456883,n79034425,XX841898,0000 0001 2278 1811,1898-06-05T00:00:00Z,1936-08-18T00:00:00Z,<XXI
"García_Montero,Luis",Luis García Montero,1958-12-04,,male,Q724068,12068165g,49247928,n85017438,XX934748,0000 0000 8127 3262,1958-12-04T00:00:00Z,,<XXI
"García_Pérez,José_Antonio",José Antonio García Pérez,,,,,,,,,,,,XXI
"García_Rodríguez,Purificación",Purificación García Rodríguez,,,,,,,,,,,,XXI
"García_Nieto,José",José García Nieto,1914-07-06,2001-02-27,male,Q921366,11987963k,71400048,n50083224,XX936183,0000 0001 1668 4820,1914-07-06T00:00:00Z,2001-02-27T00:00:00Z,<XXI
"García_Vargas,Antonio",Antonio García Vargas,,,,,,,,,,,,XXI
"García_de_Amézaga,Luis_M.",Luis M. García de Amézaga,,,,,,,,,,,,XXI
"García_Tassara,Gabriel",Gabriel García Tassara,1817-07-19,1875-02-14,male,Q5665584,11987963k,53997117,nr90010158,XX1125066,0000 0000 5931 5825,1817-07-19T00:00:00Z,1875-02-14T00:00:00Z,<XXI
"Garés,José",José Garés,,,,,,,,,,,,XXI
"Garrido,Dolores",Dolores Garrido,,,,,,,,,,,,XXI
"Garza,Humberto_C.",Humberto C. Garza,,,,,,,,,,,,XXI
"Gautier_Benítez,José",José Gautier Benítez,1851-04-12,1880-01-24,male,Q3344883,12175313f,48348151,n88653932,XX1125066,0000 0000 4128 7416,1851-04-12T00:00:00Z,1880-01-24T00:00:00Z,<XXI
"Gelices,Yolanda",Yolanda Gelices,,,,,,,,,,,,XXI
"Gelman,Juan",Juan Gelman,1930-05-03,2014-01-14,male,Q519851,11904535v,9846589,n84144283,XX920540,0000 0001 2120 0894,1930-05-03T00:00:00Z,2014-01-14T00:00:00Z,<XXI
"Gerbasi,Vicente",Vicente Gerbasi,1913-06-02,1992-12-28,male,Q373024,12020594d,97841773,n81033757,XX1173856,0000 0000 8168 9196,1913-06-02T00:00:00Z,1992-12-28T00:00:00Z,<XXI
"Gil_de_Biedma,Jaime",Jaime Gil de Biedma,1929-11-13,1990-01-08,male,Q978013,11998064w,46770462,n80086743,XX922494,0000 0001 1471 9049,1929-11-13T00:00:00Z,1990-01-08T00:00:00Z,<XXI
"Gil_Segura,F._Javier",F. Javier Gil Segura,,,,,,,,,,,,XXI
"Gil_Polo,Gaspar",Gaspar Gil Polo,1530-01-01,1591-01-01,male,Q532021,11998064w,34771,n86112309,XX932442,0000 0001 2019 4816,"1530-01-01T00:00:00Z,1540-01-01T00:00:00Z",1591-01-01T00:00:00Z,<XXI
"Gil_y_Carrasco,Enrique",Enrique Gil y Carrasco,1815-07-15,1846-02-22,male,Q1344012,12060470z,27087132,n86136564,XX922371,0000 0000 8366 4603,1815-07-15T00:00:00Z,1846-02-22T00:00:00Z,<XXI
"Giménez_Reillo,Blanca",Blanca Giménez Reillo,,,,,,,,,,,,XXI
"Girondo,Oliverio",Oliverio Girondo,1891-08-17,1967-01-24,male,Q1728777,12013424g,76327294,n82232184,XX908861,0000 0000 8155 9906,1891-08-17T00:00:00Z,1967-01-24T00:00:00Z,<XXI
"Girri,Alberto",Alberto Girri,1919-11-27,1991-11-16,male,Q459480,12013425t,32007181,n50029923,XX1095025,0000 0000 6636 4422,1919-11-27T00:00:00Z,1991-11-16T00:00:00Z,<XXI
"González,Adolfo",Adolfo González,,,,,,,,,,,,XXI
"González,Álvaro_Joaquín",Álvaro Joaquín González,,,,,,,,,,,,XXI
"Gómez_Avellaneda,Gertrudis",Gertrudis Gómez de Avellaneda,1814-12-11,1873-02-01,female,Q283353,12018818v,76328537,n50046887,XX994140,0000 0001 0916 9855,"1814-12-11T00:00:00Z,1814-03-23T00:00:00Z",1873-02-01T00:00:00Z,<XXI
"González,Borja",Borja González,,,,,,,,,,,,XXI
"González,David",David González,,,,,,,,,,,,XXI
"Gómez_Restrepo,Antonio",Antonio Gómez Restrepo,1869-01-13,1947-11-06,male,Q2850236,12408281f,76403524,nr90009538,XX1247332,0000 0001 1029 7678,1869-01-13T00:00:00Z,1947-11-06T00:00:00Z,<XXI
"González_Agüero,Raúl_O.",Raúl O. González Agüero,,,,,,,,,,,,XXI
"González_Ambou,Ramón",Ramón González Ambou,,,,,,,,,,,,XXI
"González_Anido,Juan_Carlos",Juan Carlos González Anido,,,,,,,,,,,,XXI
"González_Burgos,Manuel",Manuel González Burgos,,,,,,,,,,,,XXI
"Góngora,Luis_de",Luis de Góngora,1561-07-11,1627-03-23,male,Q219744,11905368h,12309145,n78095651,XX834497,0000 0001 2099 1225,1561-07-11T00:00:00Z,"1627-03-23T00:00:00Z,1627-05-25T00:00:00Z,1627-05-23T00:00:00Z",<XXI
"González_Cano,Cándida",Cándida González Cano,,,,,,,,,,,,XXI
"González,Ángel",Ángel González Muñiz,1925-09-03,2008-01-12,male,Q715118,"12102074n,12022449s",84475449,n80010217,"XX4578713,XX1043066","0000 0000 8078 3148,0000 0004 4909 0211",1925-09-03T00:00:00Z,2008-01-12T00:00:00Z,<XXI
"González_Medina,Óscar_Fco.",Óscar Fco. González Medina,,,,,,,,,,,,XXI
"González_Sanz,Alba",Alba González Sanz,,,,,,,,,,,,XXI
"González_Camargo,Joaquín",Joaquín González Camargo,1865-01-15,1886-01-01,male,Q26970947,11905368h,12309145,n78095651,XX834497,0000 0001 2099 1225,1865-01-15T00:00:00Z,1886-01-01T00:00:00Z,<XXI
"González_Martínez,Enrique",Enrique González Martínez,1871-04-13,1952-02-19,male,Q43258,119906847,79039358,n82080155,XX4579684,0000 0001 0918 6575,1871-04-13T00:00:00Z,1952-02-19T00:00:00Z,<XXI
"Gómez,Jorge",Jorge Gómez,,,,,,,,,,,,XXI
"González-Haba,José_Antonio",José Antonio González-Haba,1948-05-27,2009-05-27,male,,11905368h,12309145,n78095651,XX834497,0000 0001 2099 1225,1948-05-27T00:00:00Z,2009-05-27T00:00:00Z,<XXI
"Gómez_Bas,Joaquín",Joaquín Gómez Bas,,,,,,,,,,,,XXI
"Gómez_García,Elías_F.",Elías F. Gómez García,,,,,,,,,,,,XXI
"Gómez_Oteros,Mª_Teresa",Mª Teresa Gómez Oteros,,,,,,,,,,,,XXI
"Gómez_Pescador,Felipe_E.",Felipe E. Gómez Pescador,,,,,,,,,,,,XXI
"Gorostiza,José",José Gorostiza,1901-11-10,1973-03-16,male,Q695854,120206266,115672332,n84077934,XX956166,0000 0001 0938 3181,1901-11-10T00:00:00Z,1973-03-16T00:00:00Z,<XXI
"Goytisolo,José_Agustín",José Agustín Goytisolo,1928-04-13,1999-03-20,male,Q1708911,12027147g,117022600,n85278034,XX948281,0000 0001 0938 7895,1928-04-13T00:00:00Z,1999-03-20T00:00:00Z,<XXI
"Gregori,Diego_Alberto_De",Diego Alberto De Gregori,,,,,,,,,,,,XXI
"Greiff,León_de",León de Greiff,1895-07-22,1976-07-11,male,Q2494262,12305777p,115149910,n50032296,XX871283,0000 0001 1798 3611,1895-07-22T00:00:00Z,1976-07-11T00:00:00Z,<XXI
"Grueso,El_Graso",El Graso Grueso,,,,,,,,,,,,XXI
"Guerra,Edward",Edward Guerra,,,,,,,,,,,,XXI
Guido,Guido,,,,,,,,,,,,XXI
"Guillén,Jorge",Jorge Guillén,1893-01-18,1984-02-06,male,Q59837,11906407t,91629318,n85092317,XX957184,0000 0001 0924 2768,1893-01-18T00:00:00Z,"1984-02-06T00:00:00Z,1984-02-02T00:00:00Z",<XXI
"Guillén,Nicolás",Nicolás Guillén,1902-07-10,1989-07-16,male,Q334118,119064085,29534974,n50018817,XX957266,0000 0001 2125 8009,1902-07-10T00:00:00Z,1989-07-16T00:00:00Z,<XXI
"Gutiérrez_Albelo,Emeterio",Emeterio Gutiérrez Albelo,1905-08-20,1969-08-06,male,Q5371041,16768343g,25411200,n93093665,XX1722805,0000 0000 6301 7548,1905-08-20T00:00:00Z,1969-08-06T00:00:00Z,<XXI
"Gutiérrez_González,Gregorio",Gregorio Gutiérrez González,1826-05-09,1872-07-06,male,Q3116328,16768343g,70044715,no97022817,XX1722805,0000 0000 8258 760X,1826-05-09T00:00:00Z,1872-07-06T00:00:00Z,<XXI
"Gutiérrez_Lasarte,Pablo",Pablo Gutiérrez Lasarte,,,,,,,,,,,,XXI
"Gutiérrez_Martínez,Yolanda",Yolanda Gutiérrez Martínez,,,,,,,,,,,,XXI
"Gutiérrez_Nájera,Manuel",Manuel Gutiérrez Nájera,1859-12-22,1895-02-03,male,Q2637654,12104803t,27095815,n79144723,XX961335,0000 0000 8105 4932,1859-12-22T00:00:00Z,1895-02-03T00:00:00Z,<XXI
"Gutiérrez_Zamora,Ana_Lucía",Ana Lucía Gutiérrez Zamora,,,,,,,,,,,,XXI
"Guzmán_Cruchaga,Juan",Juan Guzmán Cruchaga,,,,,,,,,,,,XXI
"Hahn,Óscar",Óscar Hahn,1938-07-05,,male,Q293375,12217043z,44348500,n81038955,XX888429,0000 0000 8223 9920,1938-07-05T00:00:00Z,,<XXI
"Hartzenbusch,Juan_Eugenio",Juan Eugenio Hartzenbusch,1806-09-06,1880-08-02,male,Q1377747,121749355,71432575,n80103896,XX964818,0000 0001 1029 1532,1806-09-06T00:00:00Z,1880-08-02T00:00:00Z,<XXI
"Henríquez_Ureña,Pedro",Pedro Henríquez Ureña,1884-06-29,1946-05-11,male,Q1153831,12020018x,61558646,n50037306,XX950598,0000 0001 2135 6119,1884-06-29T00:00:00Z,1946-05-11T00:00:00Z,<XXI
"Heredia,José_María",José María Heredia y Heredia,1803-12-31,1839-05-07,male,Q609805,123388430,56682317,n83126644,XX972781,0000 0000 8135 5153,1803-12-31T00:00:00Z,1839-05-07T00:00:00Z,<XXI
"Hermida_González,Jesús",Jesús Hermida González,,,,,,,,,,,,XXI
"Hernanz_Angulo,Beatriz",Beatriz Hernanz Angulo,,,,,,,,,,,,XXI
"Hernández,Consuelo",Consuelo Hernández,,,,,,,,,,,,XXI
"Hernández,Juan_José",Juan José Hernández,,,,,,,,,,,,XXI
"Hernández,Martha",Martha Hernández,,,,,,,,,,,,XXI
"Hernández,Miguel",Miguel Hernández,1910-10-30,1942-03-28,male,Q332088,"13894460r,12086121s",64032485,n78095657,XX976344,0000 0001 2320 9059,1910-10-30T00:00:00Z,1943-03-28T00:00:00Z,<XXI
"Herrera,Fernando_de",Fernando de Herrera,1534-01-01,1597-01-01,male,Q731218,12054503v,73872694,n83015510,XX1000338,0000 0001 0915 2703,1534-01-01T00:00:00Z,1597-01-01T00:00:00Z,<XXI
"Herrera_Peña,Jesús",Jesús Herrera Peña,,,,,,,,,,,,XXI
"Herrera_y_Reissig,Julio",Julio Herrera y Reissig,1875-01-09,1910-03-09,male,Q3058092,120284017,49239772,n85097362,XX1003103,0000 0001 2279 6757,1875-01-09T00:00:00Z,1910-03-09T00:00:00Z,<XXI
"Hidalgo_Antigoni,Juan_Carlos",Juan Carlos Hidalgo Antigoni,,,,,,,,,,,,XXI
